,temp,location,clouds,pressure,rain,time_stamp,humidity,wind
0,42.42,0,1.0,1012.14,0.1228,1545003901,0.77,11.25
1,42.43,1,1.0,1012.15,0.1846,1545003901,0.76,11.32
2,42.5,2,1.0,1012.15,0.1089,1545003901,0.76,11.07
3,42.11,3,1.0,1012.13,0.0969,1545003901,0.77,11.09
4,43.13,4,1.0,1012.14,0.1786,1545003901,0.75,11.49
5,42.34,5,1.0,1012.15,0.2068,1545003901,0.77,11.49
6,42.36,6,1.0,1012.15,0.2088,1545003901,0.77,11.46
7,42.21,7,1.0,1012.16,0.2069,1545003901,0.77,11.37
8,42.07,8,1.0,1012.12,0.102,1545003901,0.78,11.28
9,43.05,9,1.0,1012.12,0.1547,1545003901,0.75,11.58
10,42.09,10,1.0,1012.13,0.1428,1545003901,0.78,11.41
20,43.31,9,0.8,990.8,0.0023,1543347920,0.71,8.36
23,43.92,7,1.0,1006.29,0.0409,1543277833,0.9,10.09
24,43.87,8,1.0,1006.24,0.0284,1543277833,0.91,9.74
251,44.29,0,1.0,998.12,0.0113,1543297520,0.89,14.24
252,44.28,1,1.0,998.13,0.011,1543297520,0.89,14.34
253,44.37,2,1.0,998.14,0.0073,1543297520,0.89,14.08
254,44.03,3,1.0,998.12,0.0107,1543297520,0.9,14.1
255,43.3,4,1.0,998.65,0.016,1543297520,0.9,10.17
256,44.18,5,1.0,998.13,0.0117,1543297520,0.89,14.44
257,43.12,6,1.0,998.67,0.012,1543297520,0.91,10.21
258,44.09,7,1.0,998.14,0.0097,1543297520,0.9,14.41
259,43.99,8,1.0,998.11,0.0127,1543297520,0.9,14.16
260,44.64,9,1.0,998.11,0.018,1543297520,0.88,14.42
261,43.06,10,1.0,998.65,0.0147,1543297520,0.91,10.15
262,44.04,11,1.0,998.14,0.0103,1543297520,0.9,14.38
305,44.09,0,0.99,1005.3,0.1577,1543281514,0.9,11.25
306,44.11,1,0.99,1005.33,0.1881,1543281514,0.9,11.3
307,44.07,2,0.99,1005.27,0.1301,1543281514,0.9,11.13
308,43.87,3,0.99,1005.25,0.1231,1543281514,0.91,11.15
309,44.87,4,0.99,1005.34,0.2125,1543281514,0.87,11.38
310,44.12,5,0.99,1005.36,0.2232,1543281514,0.9,11.37
311,44.17,6,0.99,1005.37,0.2349,1543281514,0.9,11.39
312,44.07,7,0.99,1005.36,0.2178,1543281514,0.9,11.35
313,43.88,8,0.99,1005.26,0.1303,1543281514,0.91,11.2
314,44.84,9,0.99,1005.33,0.204,1543281514,0.88,11.38
315,43.99,10,0.99,1005.32,0.1872,1543281514,0.9,11.33
316,44.01,11,0.99,1005.35,0.2043,1543281514,0.9,11.33
552,39.26,0,1.0,1019.52,0.0293,1543740774,0.86,3.99
553,39.26,1,1.0,1019.53,0.0294,1543740774,0.86,4.03
554,39.08,3,1.0,1019.5,0.0299,1543740774,0.87,3.91
555,39.28,4,1.0,1019.54,0.0322,1543740774,0.86,4.1
556,39.29,5,1.0,1019.54,0.0315,1543740774,0.86,4.08
